cbsatitle,gdp,year
"Gadsden, AL (Metropolitan Statistical Area)",2651.6,2013
"Gainesville, FL (Metropolitan Statistical Area)",11746.1,2013
"Gainesville, GA (Metropolitan Statistical Area)",7185.3,2013
"Gettysburg, PA (Metropolitan Statistical Area)",2919.2,2013
"Glens Falls, NY (Metropolitan Statistical Area)",4643,2013
"Goldsboro, NC (Metropolitan Statistical Area)",4329.8,2013
"Grand Forks, ND-MN (Metropolitan Statistical Area)",4912.1,2013
"Grand Island, NE (Metropolitan Statistical Area)",4041.3,2013
"Grand Junction, CO (Metropolitan Statistical Area)",5179.4,2013
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",49187.3,2013
"Grants Pass, OR (Metropolitan Statistical Area)",1948,2013
"Great Falls, MT (Metropolitan Statistical Area)",3102.1,2013
"Greeley, CO (Metropolitan Statistical Area)",9331.7,2013
"Green Bay, WI (Metropolitan Statistical Area)",16652.1,2013
"Greensboro-High Point, NC (Metropolitan Statistical Area)",36566.6,2013
"Greenville, NC (Metropolitan Statistical Area)",7319.5,2013
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",34669.1,2013
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",16445,2013
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",8845.9,2013
"Hammond, LA (Metropolitan Statistical Area)",3650.8,2013
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",4906.6,2013
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",32544.2,2013
"Harrisonburg, VA (Metropolitan Statistical Area)",7340.4,2013
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",82699.3,2013
"Hattiesburg, MS (Metropolitan Statistical Area)",5315.9,2013
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",11867,2013
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",7782.8,2013
"Hinesville, GA (Metropolitan Statistical Area)",3592.6,2013
"Homosassa Springs, FL (Metropolitan Statistical Area)",3086.6,2013
"Hot Springs, AR (Metropolitan Statistical Area)",2868.6,2013
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",11527.6,2013
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",488429.6,2013
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",14853.5,2013
"Huntsville, AL (Metropolitan Statistical Area)",22533.6,2013
"Idaho Falls, ID (Metropolitan Statistical Area)",5522.1,2013
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",123565,2013
"Iowa City, IA (Metropolitan Statistical Area)",9020.4,2013
"Ithaca, NY (Metropolitan Statistical Area)",4778.2,2013
"Jackson, MI (Metropolitan Statistical Area)",5800.6,2013
"Jackson, MS (Metropolitan Statistical Area)",27331.9,2013
"Jackson, TN (Metropolitan Statistical Area)",5787.7,2013
"Jacksonville, FL (Metropolitan Statistical Area)",62166,2013
"Jacksonville, NC (Metropolitan Statistical Area)",7858.8,2013
"Janesville-Beloit, WI (Metropolitan Statistical Area)",5815.6,2013
"Jefferson City, MO (Metropolitan Statistical Area)",6743.9,2013
"Johnson City, TN (Metropolitan Statistical Area)",6279,2013
"Johnstown, PA (Metropolitan Statistical Area)",4210.9,2013
"Jonesboro, AR (Metropolitan Statistical Area)",4781,2013
"Joplin, MO (Metropolitan Statistical Area)",6743.6,2013
"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",7658,2013
"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",14003.3,2013
"Kankakee, IL (Metropolitan Statistical Area)",3742.9,2013
"Kansas City, MO-KS (Metropolitan Statistical Area)",115710.9,2013
"Kennewick-Richland, WA (Metropolitan Statistical Area)",11502.8,2013
"Killeen-Temple, TX (Metropolitan Statistical Area)",15980.5,2013
"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",12062.8,2013
"Kingston, NY (Metropolitan Statistical Area)",5610.4,2013
"Knoxville, TN (Metropolitan Statistical Area)",34875.4,2013
"Kokomo, IN (Metropolitan Statistical Area)",4078.4,2013
"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",6458.3,2013
"Lafayette, LA (Metropolitan Statistical Area)",26919.8,2013
"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",9092.5,2013
"Lake Charles, LA (Metropolitan Statistical Area)",13497.4,2013
"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",3879.4,2013
"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",18448.7,2013
"Lancaster, PA (Metropolitan Statistical Area)",24026.3,2013
"Lansing-East Lansing, MI (Metropolitan Statistical Area)",19315,2013
"Laredo, TX (Metropolitan Statistical Area)",7775.3,2013
"Las Cruces, NM (Metropolitan Statistical Area)",6291.7,2013
"Las Vegas-Henderson-Paradise, NV (Metropolitan Statistical Area)",90426.4,2013
"Lawrence, KS (Metropolitan Statistical Area)",3895.3,2013
"Lawton, OK (Metropolitan Statistical Area)",4774.6,2013
"Lebanon, PA (Metropolitan Statistical Area)",4612.2,2013
"Lewiston, ID-WA (Metropolitan Statistical Area)",2171.5,2013
"Lewiston-Auburn, ME (Metropolitan Statistical Area)",3702.2,2013
"Lexington-Fayette, KY (Metropolitan Statistical Area)",25241.4,2013
"Lima, OH (Metropolitan Statistical Area)",5576.4,2013
"Lincoln, NE (Metropolitan Statistical Area)",17331.6,2013
"Little Rock-North Little Rock-Conway, AR (Metropolitan Statistical Area)",35050.3,2013
"Logan, UT-ID (Metropolitan Statistical Area)",4204.7,2013
"Longview, TX (Metropolitan Statistical Area)",11292.4,2013
"Longview, WA (Metropolitan Statistical Area)",3800.5,2013
"Los Angeles-Long Beach-Anaheim, CA (Metropolitan Statistical Area)",852034.2,2013
"Louisville/Jefferson County, KY-IN (Metropolitan Statistical Area)",62909.6,2013
"Lubbock, TX (Metropolitan Statistical Area)",12254.4,2013
"Lynchburg, VA (Metropolitan Statistical Area)",8881.8,2013
"Macon-Bibb County, GA (Metropolitan Statistical Area)",8641.7,2013
"Madera, CA (Metropolitan Statistical Area)",4896.3,2013
"Madison, WI (Metropolitan Statistical Area)",40557.7,2013
"Manchester-Nashua, NH (Metropolitan Statistical Area)",23504.1,2013
"Manhattan, KS (Metropolitan Statistical Area)",3204.7,2013
"Mankato-North Mankato, MN (Metropolitan Statistical Area)",4737.6,2013
"Mansfield, OH (Metropolitan Statistical Area)",4120.4,2013
"McAllen-Edinburg-Mission, TX (Metropolitan Statistical Area)",17593.3,2013
"Medford, OR (Metropolitan Statistical Area)",6842.1,2013
"Memphis, TN-MS-AR (Metropolitan Statistical Area)",65875.1,2013
"Merced, CA (Metropolitan Statistical Area)",7690.9,2013
"Miami-Fort Lauderdale-West Palm Beach, FL (Metropolitan Statistical Area)",268198.5,2013
"Michigan City-La Porte, IN (Metropolitan Statistical Area)",3922.3,2013
"Midland, MI (Metropolitan Statistical Area)",4083.2,2013
"Midland, TX (Metropolitan Statistical Area)",33427.8,2013
"Milwaukee-Waukesha-West Allis, WI (Metropolitan Statistical Area)",96993.6,2013
"Minneapolis-St. Paul-Bloomington, MN-WI (Metropolitan Statistical Area)",220938.1,2013
"Missoula, MT (Metropolitan Statistical Area)",4596.7,2013
"Mobile, AL (Metropolitan Statistical Area)",17553.3,2013
"Modesto, CA (Metropolitan Statistical Area)",17189.3,2013
"Monroe, LA (Metropolitan Statistical Area)",6692.5,2013
"Monroe, MI (Metropolitan Statistical Area)",4526.6,2013
"Montgomery, AL (Metropolitan Statistical Area)",15994.9,2013
"Morgantown, WV (Metropolitan Statistical Area)",6757.6,2013
"Morristown, TN (Metropolitan Statistical Area)",3714.5,2013
"Mount Vernon-Anacortes, WA (Metropolitan Statistical Area)",5516.9,2013
"Muncie, IN (Metropolitan Statistical Area)",3673.3,2013
"Muskegon, MI (Metropolitan Statistical Area)",5257.2,2013
"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)",14657.6,2013
"Napa, CA (Metropolitan Statistical Area)",8822.1,2013
"Naples-Immokalee-Marco Island, FL (Metropolitan Statistical Area)",13977.1,2013
"Nashville-Davidson--Murfreesboro--Franklin, TN (Metropolitan Statistical Area)",101187.8,2013
"New Bern, NC (Metropolitan Statistical Area)",4722.6,2013
"New Haven-Milford, CT (Metropolitan Statistical Area)",40896,2013
"New Orleans-Metairie, LA (Metropolitan Statistical Area)",72810.7,2013
"New York-Newark-Jersey City, NY-NJ-PA (Metropolitan Statistical Area)",1477043.4,2013
"Niles-Benton Harbor, MI (Metropolitan Statistical Area)",6181.3,2013
"North Port-Sarasota-Bradenton, FL (Metropolitan Statistical Area)",24475.7,2013
"Norwich-New London, CT (Metropolitan Statistical Area)",14464.7,2013
"Ocala, FL (Metropolitan Statistical Area)",7064.8,2013
"Ocean City, NJ (Metropolitan Statistical Area)",4747.6,2013
"Odessa, TX (Metropolitan Statistical Area)",11106.3,2013
"Ogden-Clearfield, UT (Metropolitan Statistical Area)",21647.4,2013
"Oklahoma City, OK (Metropolitan Statistical Area)",67692.7,2013
"Olympia-Tumwater, WA (Metropolitan Statistical Area)",10005.4,2013
"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)",53630.8,2013
"Orlando-Kissimmee-Sanford, FL (Metropolitan Statistical Area)",115249,2013
"Oshkosh-Neenah, WI (Metropolitan Statistical Area)",9007,2013
"Owensboro, KY (Metropolitan Statistical Area)",5239.8,2013
