cbsatitle,2013,2014,2015
"Elmira, NY (Metropolitan Statistical Area)",3357,3390.8,3411.4
"El Paso, TX (Metropolitan Statistical Area)",26582.2,26725.3,27867.3
"Enid, OK (Metropolitan Statistical Area)",3255.6,3478.7,3446
"Erie, PA (Metropolitan Statistical Area)",10861.7,10879.5,11154.9
"Eugene, OR (Metropolitan Statistical Area)",13289,13622.1,14696.3
"Evansville, IN-KY (Metropolitan Statistical Area)",17080.7,17059.4,17105.4
"Fairbanks, AK (Metropolitan Statistical Area)",5178.5,5339.3,5323.2
"Fargo, ND-MN (Metropolitan Statistical Area)",13282.5,14354.8,14960.7
"Farmington, NM (Metropolitan Statistical Area)",7076.6,7354.7,6298.8
"Fayetteville, NC (Metropolitan Statistical Area)",17094.3,16867.4,16981.1
"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",22414.6,23799.3,25437.4
"Flagstaff, AZ (Metropolitan Statistical Area)",5200.9,5302.5,5563.1
"Flint, MI (Metropolitan Statistical Area)",12369.3,12574.9,13227.7
"Florence, SC (Metropolitan Statistical Area)",7709.4,7887.7,8201.4
"Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",4501.5,4673.3,4803.7
"Fond du Lac, WI (Metropolitan Statistical Area)",4243,4486,4695.6
"Fort Collins, CO (Metropolitan Statistical Area)",14113.6,14314.9,15085.7
"Fort Smith, AR-OK (Metropolitan Statistical Area)",10097,10362.1,9968.2
"Fort Wayne, IN (Metropolitan Statistical Area)",18795,19544.3,20735.1
"Fresno, CA (Metropolitan Statistical Area)",36140.5,37447.1,39663.1
"Gadsden, AL (Metropolitan Statistical Area)",2651.6,2715,2849.9
"Gainesville, FL (Metropolitan Statistical Area)",11746.1,11602.5,11959.1
"Gainesville, GA (Metropolitan Statistical Area)",7185.3,7827.8,8659.8
"Gettysburg, PA (Metropolitan Statistical Area)",2919.2,3033.8,3125.3
"Glens Falls, NY (Metropolitan Statistical Area)",4643,4793.7,4929.1
"Goldsboro, NC (Metropolitan Statistical Area)",4329.8,4381,4448.1
"Grand Forks, ND-MN (Metropolitan Statistical Area)",4912.1,4975.4,5229.6
"Grand Island, NE (Metropolitan Statistical Area)",4041.3,4068.3,4224.9
"Grand Junction, CO (Metropolitan Statistical Area)",5179.4,5374.2,5293.4
"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",49187.3,52318.7,56274.7
"Grants Pass, OR (Metropolitan Statistical Area)",1948,2062.5,2241.7
"Great Falls, MT (Metropolitan Statistical Area)",3102.1,3294.3,3413.9
"Greeley, CO (Metropolitan Statistical Area)",9331.7,10921.1,11372.8
"Green Bay, WI (Metropolitan Statistical Area)",16652.1,17122.7,18335.9
"Greensboro-High Point, NC (Metropolitan Statistical Area)",36566.6,38228.8,40227.9
"Greenville, NC (Metropolitan Statistical Area)",7319.5,7481.7,7735
"Greenville-Anderson-Mauldin, SC (Metropolitan Statistical Area)",34669.1,36520.5,39122.4
"Gulfport-Biloxi-Pascagoula, MS (Metropolitan Statistical Area)",16445,16332.6,16487.3
"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",8845.9,9253.3,9398
"Hammond, LA (Metropolitan Statistical Area)",3650.8,3844.5,3735.8
"Hanford-Corcoran, CA (Metropolitan Statistical Area)",4906.6,5257.6,5090
"Harrisburg-Carlisle, PA (Metropolitan Statistical Area)",32544.2,33546.6,35209.1
"Harrisonburg, VA (Metropolitan Statistical Area)",7340.4,7506,7901.1
"Hartford-West Hartford-East Hartford, CT (Metropolitan Statistical Area)",82699.3,83415.8,88387.5
"Hattiesburg, MS (Metropolitan Statistical Area)",5315.9,5504.5,5768.3
"Hickory-Lenoir-Morganton, NC (Metropolitan Statistical Area)",11867,12258.8,13121.1
"Hilton Head Island-Bluffton-Beaufort, SC (Metropolitan Statistical Area)",7782.8,8269.2,8645.1
"Hinesville, GA (Metropolitan Statistical Area)",3592.6,3465,3435.3
"Homosassa Springs, FL (Metropolitan Statistical Area)",3086.6,2972.5,3045.2
"Hot Springs, AR (Metropolitan Statistical Area)",2868.6,2922.5,3027.9
"Houma-Thibodaux, LA (Metropolitan Statistical Area)",11527.6,11610.5,10698.5
"Houston-The Woodlands-Sugar Land, TX (Metropolitan Statistical Area)",488429.6,507183.1,494837.4
"Huntington-Ashland, WV-KY-OH (Metropolitan Statistical Area)",14853.5,15050.2,14746.2
"Huntsville, AL (Metropolitan Statistical Area)",22533.6,23332.3,24153.4
"Idaho Falls, ID (Metropolitan Statistical Area)",5522.1,5718.4,6191.9
"Indianapolis-Carmel-Anderson, IN (Metropolitan Statistical Area)",123565,127666.5,130824.6
"Iowa City, IA (Metropolitan Statistical Area)",9020.4,9537,9785.6
"Ithaca, NY (Metropolitan Statistical Area)",4778.2,4840.8,4967.7
"Jackson, MI (Metropolitan Statistical Area)",5800.6,5729.2,5929.2
"Jackson, MS (Metropolitan Statistical Area)",27331.9,28258.2,28842.1
"Jackson, TN (Metropolitan Statistical Area)",5787.7,5755,5900
"Jacksonville, FL (Metropolitan Statistical Area)",62166,64001.1,68810.2
"Jacksonville, NC (Metropolitan Statistical Area)",7858.8,7830.9,7727.8
"Janesville-Beloit, WI (Metropolitan Statistical Area)",5815.6,5726.1,6065
"Jefferson City, MO (Metropolitan Statistical Area)",6743.9,6926.1,7128.9
"Johnson City, TN (Metropolitan Statistical Area)",6279,6310.4,6690.8
"Johnstown, PA (Metropolitan Statistical Area)",4210.9,4244.7,4221
"Jonesboro, AR (Metropolitan Statistical Area)",4781,4777.9,4966.5
